No,1Engineering Workshop,1Engineering Chemistry Lab,1English Language and Communication Skills Lab,1Basic Electrical Engineering Lab,1Mathematics - 1,1Chemistry,1Basic Electrical Engineering,1English,1Applied Physics Lab,1Programming for Problem Solving Lab,1Mathematics - 2,1Applied Physics,1Programming for Problem Solving,1Engineering Graphics,2Data Structures Lab,2Python Programming Lab,2Business Economics and Financial Analysis,2Computer Organization and Architecture,2Data Structures,2Python Programming,2Discrete Mathematics,2Mathematical and Statistical Foundations,2Database management Systems Lab,2Java Programming Lab,2Operating Systems Lab,2Database Management Systems,2Operating Systems,2Object Oriented Programming Using Java,2Formal Language and Automata Theory,2Software Engineering,3Advanced Communication Skills Lab,3Computer Networks Lab,3Data Mining Lab,3Introduction to Data Science,3Devops,3Design and Analysis of Algorithms,3Data Mining,3Computer Networks,3Computer Graphics,3Machine Learning Lab,3Big Data Analytics Lab,3Cryptography and Network security Lab,3Cryptography and Network Security,3Big Data Analytics,3Industrial Management,3Machine Learning,3Compiler Design,4Predictive Analytics,4Web and Social Media Analytics,4Professional Elective - 4,4Professional Elective - 5,4Open Elective - 2,4Web and Social Media Analytics Lab,4Mini Project ,4Seminar,4Project Stage - 1,4Organizational Behaviour,4Professional Elective - 6,4Open Elective - 3,4Project Stage - 2,CGPA
87,B+,A+,B+,A+,A+,B,A+,O,A,A+,B,O,B+,B+,B,B+,C,O,C,B,A+,A,B+,A+,B+,O,C,C,O,B,A,O,B+,O,B+,A,A+,A+,B,B,A,A,O,A,A,B+,A+,O,O,A,B+,B+,A+,B+,B+,B+,A+,A+,O,A+,7.915625
88,A+,O,C,A,B,B+,B+,B+,A+,C,B,O,B,C,A,B+,B,O,A,A+,A,O,O,O,C,B+,B,B+,B,A+,O,O,A+,B,O,B,O,O,B+,C,A,B,C,C,B+,C,A+,B+,A,C,B+,B,A+,O,O,C,A,B,A,A,7.359375
89,C,B+,O,O,B+,O,A+,A+,B+,C,A+,B,B,A+,C,A,B,O,C,C,O,B+,O,B,O,B,O,B+,A,A+,B,O,B,B,A,B,B,B,A+,A,B,B,O,B,B+,A,A+,C,C,A+,B,A+,A+,A+,A,O,A,C,O,C,7.446875
90,O,A+,A,C,A+,B,O,B+,B+,C,A,B+,B+,B,B,A+,B+,O,C,A+,B,A,C,B+,A,C,A,A,C,B+,A+,B,A,B+,B,O,B+,O,A,O,B,O,C,B,C,B+,A+,O,A,C,C,A+,C,C,B+,B,C,A+,A+,B+,7.240625
91,B+,O,O,A+,C,C,A+,A+,C,O,B+,B,C,B,O,B,C,A,A+,B,B+,C,B,B+,C,B,A+,B+,B+,A+,O,C,B,A,A,B,O,B+,B+,B,B,A+,A,A+,B+,C,O,C,A,B+,A+,B,C,C,B+,A,O,O,O,C,7.16875
92,C,B+,B,B+,A+,C,B,B+,O,B,B,C,B,C,B,A,O,O,A+,A+,C,C,A,A,A,A+,O,B+,B,B,A+,C,A,C,B,A,A+,O,A+,O,A+,O,A,A+,A,A,C,C,A,B+,B,B+,B,B,B,B+,A+,B,A,A+,7.3125
93,A+,B+,A+,A,B+,B+,O,A+,A,B+,B,O,A,O,C,B,C,A,A+,C,B,A,A,C,B,O,C,B+,A,B,O,B,B+,O,A,A,C,B+,A,B,A,A+,C,B+,B+,A+,A,C,A+,A,B,O,C,A+,O,A+,A+,A+,A,B+,7.615625
94,O,A+,A+,B,O,B,A,O,A,O,C,A,O,A,B+,B+,C,A+,C,O,O,C,A+,O,A+,B,B,A,A+,A+,O,C,B,C,C,B+,C,O,B+,A,O,B,A,O,C,A+,A,A,C,O,A+,B+,C,C,B,B,B,B,O,B+,7.54375
95,A,A+,B+,O,C,C,A,O,A+,B,O,A+,O,B,C,A,A,O,O,B,B+,B+,A,A,B+,A+,A+,A+,O,B+,C,A,C,A+,B+,B,B+,A+,B,A,C,B+,O,O,B,C,O,B,A,A+,O,C,B,B+,A+,O,B,A,O,B+,7.85
96,B,A,B,B+,A+,B,A+,A+,A,B,C,C,O,B,B+,A+,B,C,A,A,B,A+,O,C,C,B+,C,B+,A,C,C,O,B,B,B,O,B+,C,A,B+,B+,B+,O,C,B+,C,C,A+,A,A,B,O,B,A+,C,A,C,A,B,B+,6.996875
97,C,C,B+,C,C,O,C,B+,A+,A,A+,C,B,B+,A,B+,A,C,B+,A,A,A,B,A,B,C,A+,B,O,B,B+,B,A,C,B,A+,A,B+,A,A+,C,B,A,A,B+,C,A+,O,C,B,A+,C,B+,B+,O,A+,C,A+,A+,B+,7.11875
98,A,A+,A+,B+,B,B+,A+,A+,B+,B,C,A,C,C,C,C,B+,A+,O,A+,B,A+,C,O,B+,O,B+,B+,B+,A+,B+,C,C,B,C,C,A+,O,A,A,B,A,A,O,A,B,A+,A,A,B+,C,A,O,A,C,C,B+,B,B+,B+,7.29375
99,O,A,B,A,O,O,A,O,A+,B,C,O,A+,B+,A,O,B,B+,C,A+,A,A,A+,C,A,O,B+,B+,C,A,C,A+,B,A,O,B,C,A,B,A,A,A,B+,A,A,O,A,O,A,A,C,A,O,A+,A+,C,A+,A,B,O,7.890625
100,O,B,B,A,A,C,C,A,O,B+,C,B,B,B+,B+,C,A+,A,B+,O,B+,C,C,B,O,A,A+,A,O,A,A,B+,C,B+,B+,B,A,O,B+,A,A+,B+,C,O,C,O,A+,B,A,B+,A+,A,C,O,A,B+,A+,B+,A+,C,7.384375
101,A,A,A+,B+,O,O,B+,B+,A+,A,B+,O,B,O,B,B+,C,A,A+,A,B,O,A+,B,O,B+,B+,B+,B,A,B,A,O,A,B,C,C,O,B+,B,B,C,A+,O,O,C,B,B+,A+,C,B,B,O,B,A,C,O,C,C,B,7.371875
102,O,B,O,A+,A+,O,O,O,C,A+,A+,A,B,B+,C,B,A,C,O,O,B,B+,C,O,B+,A,B+,C,B+,O,A+,B,B+,C,C,C,O,C,C,C,A,B+,A,A,A+,A+,O,B+,A,A,B+,C,B+,B,B+,A,C,A+,B+,B+,7.484375
103,O,A,C,B+,A+,B+,O,A,B+,B,B,O,A,B+,B,O,B+,C,C,C,C,B,B+,A+,A,A+,B+,B+,A+,C,B+,O,C,A,B+,A+,B,B+,C,O,C,B+,C,O,A+,C,O,A,O,B,B+,O,C,A+,B+,B+,O,A,B+,O,7.58125
104,B+,B+,A+,C,C,A+,B+,O,C,A,A,B+,B+,B+,O,O,B+,C,B,C,B,C,C,A+,O,B+,B+,A+,C,B+,B,B,C,A+,C,O,O,O,A,C,B,B+,O,B,O,A,B+,C,B,O,C,A+,C,O,B,O,B,C,B,B+,7.24375
105,B+,A,A+,B+,B+,A,B+,A,B,A+,B+,A,C,B,A+,A,B+,O,C,C,B+,A+,B,C,A,B+,A+,O,A,A,O,A,A,B+,A,C,C,A,C,A,B+,C,O,B,C,B,B,B,A+,A,O,O,C,O,C,A+,B+,B,A,B+,7.3
106,A+,B,B,C,O,O,A+,C,A+,B,C,O,B+,B+,B,B+,C,A,B,O,B+,A+,A,C,A+,B+,A+,B,C,O,O,B,A+,B+,B+,A,A+,O,A+,B+,B+,O,A,A,B+,A,O,A,B+,B+,A+,O,O,A+,C,A+,B,O,A+,O,7.996875
107,A+,B+,B,B,B+,B,A+,C,C,A,B,B,C,A,O,A+,C,O,B+,B+,B,B,O,B+,B+,A+,B+,C,O,C,B,B+,B+,C,A,A,O,O,B+,B,O,C,A,B,B,O,B+,A,A+,A,C,O,A+,B+,O,O,B,A+,C,A,7.346875
108,C,B+,B,A,A,A,C,B,O,C,A,C,A,B+,O,C,B+,C,A+,B,A+,B,O,B,B+,A+,B+,A+,O,B,A+,B+,A+,A+,O,C,O,A+,A,O,B+,B,C,B+,C,C,O,C,C,A+,A,C,A,B,A,A,O,B+,A,B,7.34375
109,B+,B+,A+,B+,O,O,C,A,O,C,C,B,C,A,O,A+,O,C,O,B,A+,O,B+,C,O,B,C,A,B+,C,A+,A+,O,A,O,A+,A+,B,A,C,B,A+,B,B+,A,B,B+,O,B,A,A,B+,C,B+,O,C,B+,C,A,A,7.446875
110,A+,B,B,A+,A,O,C,A+,B+,O,C,A,A,A+,B+,B+,B,A+,A,O,B,C,A+,B+,A+,B+,A+,B+,O,C,B,B,B,A,C,B+,B+,O,A,O,A,B,C,C,A,A+,C,A,B,B,B+,C,B,O,B,A+,O,A+,A+,B+,7.4375
111,O,A,A,A+,B,O,C,O,B+,B,A,A,B,B,B,B+,B,C,O,C,O,O,C,A+,C,A,O,C,A+,C,A,C,O,A+,O,A+,C,A,O,B,O,O,A,B+,C,O,O,C,B+,O,C,O,C,B,C,C,A,O,C,O,7.709375
112,C,B+,C,O,B+,B,A,C,A,C,A,B+,B,A+,A,C,B,C,B+,A,C,O,O,O,O,A,A,O,O,B+,A+,B+,C,A,O,A+,O,B+,C,A+,B,C,A,B+,B+,B,A,C,B+,A,B,O,C,C,C,A,B,C,C,O,7.353125
113,A,B+,A,O,C,A+,C,C,A,B+,A+,A,C,B+,A,A,B+,B+,B,A+,A+,A,B,B+,B+,B,A,B,B+,B+,B+,C,C,A+,B,A+,C,A+,A+,B+,C,O,B,C,B,A+,B+,A+,C,C,A,C,O,A+,B,O,C,O,C,A+,7.184375
114,A,B+,A,B,A+,B,B+,B,B+,B+,B+,O,C,C,B,B+,O,B,A+,B+,C,A+,B,B,A+,B+,A+,A+,A,C,C,B+,B+,B+,A,A+,B+,O,A+,O,O,A+,C,A+,A+,A,B+,C,B,A+,A,A,B,A+,A,B,B,O,A+,B+,7.553125
115,B,B,C,O,A,B+,C,O,O,A+,A+,B+,O,A+,A,B,O,B+,B,A,A,A,B,A+,A,A,A,O,C,A+,O,O,B+,A,A,B+,B+,B,C,A+,C,A+,A,A+,C,C,O,A+,A+,A+,A,A+,A+,B+,C,C,A,C,C,C,7.5
116,B,A+,O,A,B+,A,B+,C,B+,O,B+,O,A+,O,A+,B+,C,A,B+,O,A+,A+,B,B+,C,O,B+,B+,A,C,A+,B+,C,B+,A,B,O,A,A,B,B,O,A+,A+,A,B+,B,C,B,O,A,B+,B,B+,A+,A+,A+,A+,O,A,7.790625
117,A+,O,B,O,A+,A,O,C,B+,B+,O,C,C,B+,A,A,O,C,O,B+,B+,C,O,A,C,A+,B+,A+,A,C,O,B+,B,A+,O,A+,B+,O,B+,O,A,C,C,A,B,C,C,A+,A,C,A+,O,B+,O,O,O,C,C,O,C,7.528125
118,B+,B+,A+,A,B+,A+,A+,A,C,B+,B+,C,O,C,A,A,O,C,C,A,C,A,A,A+,B+,A+,B+,B+,O,C,C,A,A+,A+,C,A+,B+,B+,B,C,A+,B,O,A+,B+,A+,A,O,A,C,B,O,O,O,A,B,O,A,B,O,7.66875
119,A+,B,O,A+,B,B+,O,O,O,A+,A+,C,O,C,O,A+,B,B,O,A+,A,O,C,O,C,B+,B,C,A+,C,B+,B,O,B+,C,O,A+,B+,B,O,A+,B,B,C,C,A,B+,B,B+,A+,B+,B,C,A,B+,C,O,B,B+,B+,7.31875
120,C,O,C,B+,B+,C,O,B+,C,B,B+,B,A,B+,O,C,A+,C,A,A+,B,C,A+,A+,B+,C,O,B,A,C,C,A+,B,A+,B+,O,A+,A,A,A,C,O,B+,A,B,A+,B+,B,B+,A,O,C,O,A+,B+,C,O,A+,A,C,7.240625
121,B,A+,O,A+,B,B+,A+,B,B+,O,B,C,B,A,O,B+,A,A,B,B+,B+,C,B+,B+,B+,B,B,A+,A,A,B+,A+,B,B,O,C,B+,A,C,A+,B+,A,B+,B+,C,B,B,O,B,A,C,B+,A+,O,A,B,C,B,A+,B,6.95625
122,A+,B+,B+,B,B,B,B+,A,C,A,A+,A+,A+,C,B,O,B+,B,C,B+,O,C,O,C,B,O,C,B+,C,B+,A,C,B+,A+,B+,B+,A+,A,O,O,B,B+,A,C,C,B,A,C,C,A,B+,B,A,O,B+,O,O,A+,B,B+,7.265625
123,A+,O,B,A,A,O,B,A+,C,B,A+,A+,B,B,C,B+,O,A+,C,B,B,A+,B+,B+,A,A,B,A,C,C,B,B+,B+,B+,A,B,C,C,B+,A,C,A+,A+,B,A,O,O,A,O,A+,O,A+,B+,B+,O,A,A+,B,C,C,7.4125
124,B+,B+,C,C,C,A+,B,B+,A+,B,C,B+,A+,A,O,A,A,A+,O,O,A+,O,C,B+,A+,A+,C,A+,B,B,O,B+,A,O,B+,B,A+,A+,A,O,A+,B+,O,B,A+,O,C,B,A,A+,B+,A,A,A,C,B+,C,O,O,A,7.784375
125,C,A,B+,O,C,C,C,C,A+,C,B,A+,A,B+,A+,C,A+,B,B,A+,O,A,A,C,C,O,A+,O,B+,C,A+,B+,O,A+,A+,A+,A+,A,A,A,A+,C,A,A,A,A,C,O,A+,A,B,C,A+,B,C,O,B,A+,B+,B,7.45
126,A+,O,C,B,B+,B+,A,A+,B,A+,B+,A+,A+,B,B,C,O,B+,B+,O,C,A,A+,C,A,O,B+,O,O,A,B,B+,B,A,O,A+,B,C,B,A,B,O,B+,O,O,O,A+,C,C,B+,A,O,A+,O,B+,A+,O,B+,B+,O,8.046875
127,C,O,B+,B,O,B+,B,A+,A+,A,C,B+,B+,O,B+,A,A+,B+,O,A+,B,A+,B,A+,A,B,A+,A,B+,C,B,A,A,A,B+,A,B,B,A,A+,C,B,A+,A,B,A,O,B,B+,A,O,O,A,B+,C,O,B+,B+,A,O,7.765625
128,B+,C,A+,O,B,B+,C,C,O,C,B+,O,O,B,C,A,B,O,C,B,O,A,B+,A+,A+,A+,A+,A+,O,B+,B,B+,A,A,B+,O,A+,C,B,A,A+,C,B,C,C,C,C,A+,B,A+,B+,C,B,A,A+,O,B+,C,B,O,7.375
129,B+,A+,B+,C,B,B,O,A,A+,B+,A+,A,A+,A,A+,C,B,B+,A+,O,A+,A,B,C,A,C,B+,A+,C,B+,B,B,B+,O,B,A,C,A,C,A,B+,B,C,B,A+,C,B,B+,A,B+,B,B+,C,B+,B,B,A,O,C,B,7.1
130,O,O,C,B,B+,A,C,A,C,B,A+,O,B+,O,B+,C,C,A+,B,O,A+,B,A,O,B,O,A,A+,B,B+,B+,B+,A+,B+,C,A+,A+,A,A,A,A,B+,B+,B,C,A,B,O,A+,B+,A+,B+,B+,A,B+,A,A,A+,A+,A+,7.746875
131,C,B+,O,A,B+,A+,B,A+,A,A+,A+,B+,B+,O,B,A,O,A,A,C,C,B+,B,C,B+,A,B+,A+,A+,O,A+,A+,A,B,A,A+,A,A,C,O,B+,B,A+,A+,A+,A,O,C,A,B,B,O,O,B,O,A,A+,A,C,O,7.88125
132,B+,B,B+,C,B,A+,A,O,B,B,C,A,C,O,B+,O,A,A,A,A,B,A,C,A,C,B,B,B+,A+,O,B,A,B+,O,A,O,B+,O,B+,B+,B,B+,B,A+,B+,A,B,O,B,B+,B,B,A,A+,C,O,A+,A,B+,C,7.40625
133,B,B,C,A+,B+,C,C,C,B,A+,B,B,A+,B+,A+,B,C,A+,O,B,O,B,B,A+,C,A+,B,C,C,O,A,B+,O,A+,A,O,B+,B,A,O,B,A,O,A+,C,C,B,B+,C,B,C,B,A+,C,A,B+,C,O,B+,A+,7.13125
134,C,A,B+,B+,A+,C,B,C,B,O,O,A+,A+,B+,C,B,A,A+,A,B+,O,O,A+,B,A+,B,O,B,B,A+,A+,C,B,O,C,O,O,C,B+,A+,C,O,A+,C,A,A+,B+,A,B,C,B+,B,C,B+,A,A,B+,O,O,O,7.709375
135,B+,B,A+,A+,B+,O,O,O,O,A+,B+,A,A,O,O,O,O,B+,A+,A+,O,C,A+,C,A+,B+,A+,B+,B,C,O,B+,C,A,A+,O,O,A+,B+,B,C,C,O,C,C,O,A+,O,A,A+,B+,B+,B,B,A+,C,O,A,O,B,7.959375
136,A,O,A+,O,A+,B,O,B,B,C,C,A,B,C,B,B,O,C,B,A+,C,O,B+,A,O,B,C,A+,C,O,O,O,C,B,O,C,C,A+,O,A,O,A,A,A,B,O,C,A,C,A,C,B,B,A+,C,B,A,C,A,A,7.253125
137,B,O,C,B,A+,B+,O,C,B,C,O,B,B+,O,C,A,O,C,A,B+,C,C,A+,A+,C,O,A+,A+,A,C,C,A,O,A+,O,A,A+,B+,A+,O,C,A,A,A+,O,A,C,B+,C,C,C,C,C,A+,C,O,A+,B,B+,O,7.665625
138,A+,A+,A+,B+,B,C,B,B,C,A+,A+,B,B+,C,A+,A+,B+,A+,B+,B+,A+,A+,C,B+,B,B+,B,C,A,B+,A+,B+,A+,B,O,A+,A,A,A,B+,B+,A,B+,A,B,O,B,B,O,C,A+,C,O,O,B,O,O,C,B+,O,7.478125
139,C,O,B,A,A+,A+,C,B+,O,A,B+,O,A+,A,B+,O,C,O,C,A,C,A+,A+,A+,A+,B,A,O,O,A+,B,O,C,A+,C,B,B+,A,A,B+,C,O,B,O,O,B,C,A+,A,C,O,A+,B,A+,O,A+,B+,A,C,B,7.640625
140,O,B,B,A,B+,A,C,A+,B+,O,B,B,A+,A,B,O,B,O,B+,O,C,B,O,A,C,B,C,A,B,A+,A+,A+,B,A,C,C,O,A,B+,B,A,B,C,B,A,C,A+,C,O,B+,B,A,O,O,A,B,O,B+,A,C,7.153125
141,B+,A,B+,A,A,A,B,B+,A+,O,B,O,C,A+,A,A,A+,C,O,O,A+,A,O,B,A+,B,C,B+,O,C,O,B+,B+,A,C,C,C,B,B,O,A,A,B,A+,O,B,O,A+,O,O,O,B,A+,O,C,O,O,C,A+,C,7.615625
142,O,A+,O,O,C,A,B+,C,A,A,O,A+,B,A+,A,A,O,B+,B,B+,A+,B,A+,A,O,A+,B,A+,A,B,A+,A,B+,B+,B+,A,B,A,C,B,O,B+,B+,A+,B+,B+,C,B+,B,O,A+,O,O,B+,A,B,A,C,O,A,7.659375
143,B,O,C,B+,A,B+,A,B,A+,A,A+,B,A,O,O,B,B,O,B,A,A,C,B+,B+,O,C,A+,B+,B+,B+,C,B,B,A+,B,A+,B+,O,B+,O,A,C,C,B,A+,B+,B,B+,O,A,A,A,B+,B+,A,C,B+,C,C,O,7.38125
144,O,C,O,B+,B+,A,B,C,C,A+,C,B,O,B,A+,O,A,A,O,A,B,B,C,B,A,A+,O,C,A+,A+,B+,A,C,C,O,C,B,A+,C,O,A+,C,C,A,B,B+,A+,O,A,B+,A,B,O,B+,A,O,B+,B,C,B+,7.359375
145,C,A,O,A+,A+,B+,C,O,A+,C,A+,A,A,B+,O,A+,B+,A,A+,B+,O,B+,C,B,A+,A,B+,B+,B,A+,A+,B,B+,A+,B+,B,O,O,B,C,O,C,B+,C,C,C,A+,B+,A,A,A,A,C,O,A,A,C,B+,O,C,7.44375
146,O,A+,B+,B,O,B+,B,A,O,B+,B,O,O,B+,O,A+,O,B+,A,A,C,A+,B+,A,C,B,B,B+,B,C,C,B+,A+,O,A+,A+,A+,O,B+,A+,A,C,A+,B,B+,C,B+,A+,C,O,B,C,A,O,O,O,O,C,O,A+,7.8125
147,A,O,B,A,C,O,A,A,B,C,O,O,B+,O,B,A,O,A,B,O,A,A,B,B+,O,A,A,O,C,O,O,C,A,A+,A,B,A,O,O,C,B+,O,A,B+,O,A,B,A+,C,A+,A+,B+,C,B+,A+,C,C,A,A+,O,8.0125
148,O,A+,C,A+,B+,O,O,A+,A+,B,A+,B+,O,A+,B+,C,C,B,B+,O,A,A+,A+,B+,C,O,B,O,B,B,A,B,B+,A,C,C,A+,C,A+,A+,B,C,B,O,O,O,O,B+,B+,C,B,C,O,C,O,O,C,B+,B,B+,7.6625
149,B,B,B+,C,C,O,O,C,O,A,B+,B,C,A+,A,O,B,A,B+,B+,A,A+,B,A,A,C,B,A,C,C,B,C,B,A+,A+,A+,B+,O,C,O,B,A+,A+,O,A+,C,A+,B,A+,O,A,B+,B+,C,B,A+,A,O,B,A+,7.509375
150,B,A,B+,A,C,A,A,B,A+,B+,A,A+,C,O,C,A,A+,A,B,A+,C,B+,C,C,C,A,C,A,A+,B+,A+,O,A+,B+,B,B,A+,O,B+,A,B+,B,O,B+,B+,B+,B,B,A,B+,C,O,A,A,B+,B+,A,A+,B+,O,7.459375
151,A,B+,A,C,C,B+,A,B,A,B+,C,A+,A+,B+,A+,B+,O,A+,A,B,O,B+,B,O,B,O,C,A+,A,B,A+,C,B+,C,B,A+,O,A,A+,B,O,B+,C,B+,B,A,C,O,B,A,O,A,B,B+,A,O,O,B+,C,O,7.6625
152,C,O,O,B,A,B+,A,A,O,C,B,B+,B,A,O,C,C,C,A+,A,B,B,O,C,O,A,A+,B+,B+,B+,C,B,B,O,A+,A,A,A+,O,B+,C,A+,A,B,A+,A,A+,A+,A+,C,A+,A+,A,B+,C,C,O,O,B+,C,7.484375
153,A+,C,O,A+,A+,A+,A,O,O,C,A+,A+,B,B+,A+,A+,B,B,C,A,A,C,O,A+,A+,B+,O,A+,B,O,B+,A+,A+,O,A,A+,A,A,O,O,A+,O,A+,A,A+,B,C,A+,A,O,B,C,C,O,C,B,C,B,B+,B+,7.753125
154,O,A+,O,B,B,A,O,B,A+,B+,A,C,A,B,A,O,B+,C,C,A,C,O,A+,O,O,A,B,O,O,A,B,C,C,C,O,C,A+,A,A,A,A+,A,O,A+,O,O,A,B,O,O,B+,B+,O,C,C,C,B+,A,C,C,7.546875
155,A+,O,B,A,B,B+,A+,B,A+,O,B+,A+,B,O,B,C,O,C,B,A+,B+,C,A,B,C,B+,B+,A+,C,A,O,B+,A+,C,B,A,A,A+,A+,B,O,A+,A+,B,C,A+,B+,C,O,A,B,A,A,A+,B+,C,A,C,B,B+,7.28125
156,B+,O,O,A,B+,A,A,C,A+,C,B,B,A+,A,C,A,A,O,O,O,A,B+,C,B+,B+,B+,A,O,C,B+,A,C,C,B,C,B+,O,O,A+,B+,B+,A+,B+,B+,B+,A,A+,A,B+,B+,B+,A+,O,C,A,A,C,A+,B,A+,7.61875
157,A+,C,C,C,C,B+,B,O,B,B,B,B+,A,A+,C,C,C,C,A+,O,A+,O,O,A,A,O,C,O,C,A+,O,B,O,A+,B,C,O,A,A+,B,B,B,B,B,A,B,B,A+,B,A+,B,B+,B,B+,A+,B+,O,C,O,C,7.26875
158,B,C,B+,B,A,B+,A,A+,A,A+,C,A+,B+,A,B,B,B+,B+,B+,C,O,B,A+,A,B+,O,C,O,A+,B+,B+,O,B,B+,A,O,A,B,B+,A,O,A+,A,B+,C,C,O,C,A,B+,A,A+,B+,B,A,B+,O,A+,A+,O,7.68125
159,A+,C,O,A,B+,C,C,B,C,B,B,O,A,A+,C,A,A+,O,A,C,A,A,A,O,O,A,C,C,B,A,B+,A,A+,A,B,B+,A,C,B,A,C,A+,A,B,B+,B,B+,B,A,A,B+,B+,C,B+,C,A,C,C,B,O,7.14375
160,B,A+,C,B+,C,B,O,C,A,O,B,B,A,B,C,B+,A,A,A,C,O,A,C,C,C,A+,C,B,A,O,B+,C,O,A,A+,B,B,C,B,B+,C,O,O,A+,C,A,A,C,B+,A+,C,O,B,B+,B+,B+,C,C,A,B,7.05
161,B,B,B,C,B,C,O,A,B,B,B,A,O,A,B,B,C,B+,O,B+,C,C,B,A+,B+,C,B+,B+,A,C,B,A,B+,B,B+,A+,B,A,B,O,C,B,A,B,B,A+,B,O,O,C,A+,A,C,C,C,A+,C,O,O,A,7.128125
162,B+,B+,A,C,B+,A+,B,B,A,C,B,A+,O,O,B+,C,O,A,A,A,B,O,A+,C,A+,B,A+,C,B,A+,C,B+,C,A,O,C,C,B,B+,O,B,C,B,B+,A+,O,B+,B,A+,A+,O,A,A,O,A+,B,A+,B+,A,A,7.603125
163,B+,O,A,B,B,B,C,A,C,A+,B+,B+,A+,C,O,B,B+,A+,O,O,C,B,O,O,B+,C,C,B+,O,C,B+,C,C,O,C,A+,B+,A+,O,A,A+,B+,O,A,A,O,O,B,A,A+,O,A+,B,B+,O,C,B,C,B,A,7.515625
164,A,C,A,B+,A,A,C,O,A+,A+,C,A,A,A,B+,A+,A,B+,A,A+,B+,O,C,C,A+,A+,A,B,O,C,A+,O,B+,C,B+,A+,C,C,O,A+,O,B+,B,C,B,B+,B,O,B+,A,B,O,B,B,B,C,B,C,B,A+,7.321875
165,A+,B,B+,A,B,B+,O,O,C,B,A+,A,A,B,B+,A,B,B+,A+,A,C,B,A+,A,B+,O,A,A,A+,A+,O,A+,B,A+,B+,O,B,B+,B,B+,A,A+,O,B+,A+,B,A,A,B+,O,A,O,A+,B,B+,A,A+,A+,A+,A,7.890625
166,C,B+,C,B+,O,B,A,A+,C,C,A+,C,B+,A+,O,B+,A+,A,O,A,C,A,O,A+,B,A+,O,A,C,B+,B,B,C,O,A,B+,B,A+,B,O,B,C,B,C,C,B,A+,A+,A+,B,O,A,C,O,O,B+,A+,O,B+,O,7.68125
167,O,A+,B,A+,B+,B,O,A+,A+,B,B,O,O,B,B+,B,A,C,O,A+,O,B,C,C,C,A,A,O,B,A,O,B,A,A,C,A+,A+,A+,C,A,C,B,C,C,B+,A+,O,C,B+,O,B+,A,A,A+,B+,A,B+,C,B,A+,7.6375
168,O,O,O,B,B+,B,B,C,B,B,C,B+,B,B,B+,B+,B+,A+,B,O,C,C,O,B,C,B+,B,C,O,C,B,A,A+,C,B+,B+,A,B+,A+,B,C,B+,C,A,A,C,B,B+,B,B+,B+,B,B,A,A+,C,C,A,A+,A,6.790625
169,B,C,O,C,O,C,C,B+,O,O,B+,O,B,A+,A+,A+,A+,C,O,O,O,O,O,O,C,A,O,O,B+,A+,A+,A+,C,O,C,O,O,A,O,A+,B,A,B+,B,B,A+,O,O,A+,O,B,A+,B,C,A,B+,C,A+,C,A+,8.084375
170,C,B+,B+,A,C,C,B+,B,B,A,C,B,A+,C,O,A,C,O,B,A+,B,A+,A+,A,O,O,A,O,B+,C,B+,A,A+,A+,O,B,A,B,A,A+,C,A,A+,C,B+,B,O,A,C,O,A,B+,B+,O,O,B+,O,A,C,C,7.3
171,B,A+,O,B,B,B,A,A+,O,B,B+,A+,A+,B,B,C,B,B+,A+,O,A+,O,B,B,O,C,B+,O,A,C,O,C,A,B,B+,A,O,O,B+,C,B+,A,A+,A,B+,C,O,A+,B,A+,C,O,C,O,A+,B+,A+,C,O,A+,7.721875
172,B,C,B,O,A,O,A,O,B,O,B+,A,A+,A+,B,O,B,B+,B+,O,A,A+,A,A+,A,B+,O,O,B,A+,B,B+,A,A,A+,B,B+,O,O,B,B+,B+,B,A,B,A,B+,C,O,B,A+,C,A,B,B+,A,A+,A+,A,A,7.828125
173,A+,B,B+,B,A,A,C,B+,B+,O,B+,B+,C,B,B+,C,B,B,B,O,A,A+,C,B+,B,B+,A+,B,A,A,A,A,C,A,O,A+,B+,B,C,O,A+,A+,B+,C,C,C,A+,C,B+,O,A+,B,A+,A,B,B+,A+,B+,O,B+,7.196875
174,C,B+,O,B+,A,O,O,B+,A+,C,B,B,A+,O,B,B,B,C,O,B+,B,C,B+,A+,A,A,C,A,C,B,B,B+,B,C,C,B,B,A,C,B+,A,A+,A,B,O,C,B,B+,A+,O,B,B,A,C,O,A+,A+,B+,A,A+,7.196875
175,A+,B+,O,A+,A+,C,B+,B,B+,B+,O,A,A,B+,A+,O,O,B+,A+,A+,O,A,A+,B+,C,B+,B,B,A,B+,C,A,B+,C,A,A,O,O,B+,B,C,A+,O,O,B,B,A+,A,B+,C,A,A+,B+,O,B+,B+,A+,A,A+,A+,7.890625
176,B,B+,B+,O,B+,O,A,C,A+,A,B,B,A,B,O,A+,A+,B,A+,B+,A+,A+,O,A,O,C,B,B,A+,B,C,A,A+,B+,B+,B+,C,B+,A,C,B+,A,A,A,A,B+,B,A,B,B,O,A+,A,B,B+,B,B,O,A,A,7.4125
177,A+,B,B,O,B,A,A,A,B+,O,C,B+,A,B,O,A,A+,A,B,B,A,B+,O,O,O,A+,A,B+,A,A,A+,C,B,O,A,C,O,A+,B,A,C,B,A+,A,A+,A+,O,B+,C,B,A+,C,B+,A,B,C,O,O,B+,O,7.78125
